date,close,volume,source
2025-03-12,95.12,41947.0,stock_zh_a_hist_tx
2025-03-13,94.58,31420.0,stock_zh_a_hist_tx
2025-03-14,100.25,121941.0,stock_zh_a_hist_tx
2025-03-17,100.16,83887.0,stock_zh_a_hist_tx
2025-03-18,102.51,101527.0,stock_zh_a_hist_tx
2025-03-19,100.81,52117.0,stock_zh_a_hist_tx
2025-03-20,98.93,44241.0,stock_zh_a_hist_tx
2025-03-21,98.55,48013.0,stock_zh_a_hist_tx
2025-03-24,97.01,45921.0,stock_zh_a_hist_tx
2025-03-25,97.38,30538.0,stock_zh_a_hist_tx
2025-03-26,96.24,39443.0,stock_zh_a_hist_tx
2025-03-27,96.31,42614.0,stock_zh_a_hist_tx
2025-03-28,97.11,59717.0,stock_zh_a_hist_tx
2025-03-31,95.08,53363.0,stock_zh_a_hist_tx
2025-04-01,99.34,103896.0,stock_zh_a_hist_tx
2025-04-02,98.78,34934.0,stock_zh_a_hist_tx
2025-04-03,99.2,42133.0,stock_zh_a_hist_tx
2025-04-07,92.08,104125.0,stock_zh_a_hist_tx
2025-04-08,93.98,80259.0,stock_zh_a_hist_tx
2025-04-09,94.44,73905.0,stock_zh_a_hist_tx
2025-04-10,96.37,69541.0,stock_zh_a_hist_tx
2025-04-11,95.3,38108.0,stock_zh_a_hist_tx
2025-04-14,95.7,46554.0,stock_zh_a_hist_tx
2025-04-15,93.43,59050.0,stock_zh_a_hist_tx
2025-04-16,91.58,61328.0,stock_zh_a_hist_tx
2025-04-17,90.58,44173.0,stock_zh_a_hist_tx
2025-04-18,89.23,55664.0,stock_zh_a_hist_tx
2025-04-21,84.38,168077.0,stock_zh_a_hist_tx
2025-04-22,82.56,78588.0,stock_zh_a_hist_tx
2025-04-23,83.06,50316.0,stock_zh_a_hist_tx
2025-04-24,82.52,44205.0,stock_zh_a_hist_tx
